City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
79,Carlos Chagas,BR,-17.7031,-40.7664,81.0,59,86,11.32,overcast clouds
80,Vaini,TO,-21.2,-175.2,73.56,88,75,8.05,broken clouds
81,Padang,ID,-0.9492,100.3543,77.05,80,49,3.2,scattered clouds
82,Hobart,AU,-42.8794,147.3294,57.06,59,92,17.27,overcast clouds
83,Shelburne,CA,44.0787,-80.2041,56.3,80,33,5.73,scattered clouds
84,Mataura,NZ,-46.1927,168.8643,47.03,96,49,2.42,scattered clouds
85,Kapaa,US,22.0752,-159.319,72.19,97,1,5.75,clear sky
86,Sao Felix Do Xingu,BR,-6.6447,-51.995,88.36,53,62,1.39,broken clouds
87,Kavaratti,IN,10.5669,72.642,81.64,75,54,7.96,broken clouds
88,Cururupu,BR,-1.8283,-44.8683,87.22,57,71,7.45,broken clouds
89,Pasni,PK,25.2631,63.471,78.22,73,0,5.21,clear sky
90,Vyartsilya,RU,62.1764,30.693,40.17,98,100,3.29,overcast clouds
91,Qui Nhon,VN,13.7667,109.2333,77.36,91,100,4.03,overcast clouds
92,Arraial Do Cabo,BR,-22.9661,-42.0278,80.56,83,75,16.11,broken clouds
93,Carnarvon,AU,-24.8667,113.6333,66.27,59,90,12.66,overcast clouds
94,Manhattan Beach,US,33.8847,-118.4109,80.31,50,1,1.99,clear sky
95,Vila Velha,BR,-20.3297,-40.2925,82.35,65,20,13.8,few clouds
96,Leningradskiy,RU,69.3833,178.4167,9.75,93,100,20.54,light snow
97,Hilo,US,19.7297,-155.09,83.28,77,75,5.75,broken clouds
98,Ribeira Grande,PT,38.5167,-28.7,68.4,73,40,17.27,scattered clouds
99,Kiama,AU,-34.6833,150.8667,58.48,92,88,3.47,overcast clouds
100,Nikolskoye,RU,59.7035,30.7861,47.01,89,100,7.11,light rain
101,Oktyabrskoye,RU,43.0645,44.7417,30.34,93,0,6.71,clear sky
102,Winnemucca,US,40.973,-117.7357,54.1,66,1,8.05,clear sky
103,Biak,ID,-0.9131,122.8766,76.82,85,22,0.4,few clouds
104,Tuatapere,NZ,-46.1333,167.6833,49.77,95,54,3.58,broken clouds
105,Sharlyk,RU,52.9167,54.75,37.45,55,100,16.37,overcast clouds
106,Staryy Nadym,RU,65.6118,72.6842,12.69,87,39,6.58,scattered clouds
107,Constitucion,CL,-35.3333,-72.4167,63.48,64,12,10.2,few clouds
108,Port-Gentil,GA,-0.7193,8.7815,80.56,78,75,12.66,broken clouds
109,Torbay,CA,47.6666,-52.7314,44.28,74,75,13.8,broken clouds
110,Busselton,AU,-33.65,115.3333,47.05,86,23,9.37,few clouds
111,Puerto Ayora,EC,-0.7393,-90.3518,75.16,89,96,5.01,overcast clouds
112,Irbeyskoye,RU,55.6428,95.4522,29.34,56,91,7.43,overcast clouds
113,Namatanai,PG,-3.6667,152.4333,80.02,80,41,6.51,scattered clouds
114,Dali,CN,25.7,100.1833,54.79,88,14,4.25,few clouds
115,Siyabuswa,ZA,-25.1132,29.0445,71.46,58,72,19.17,broken clouds
116,Kirensk,RU,57.7853,108.1119,30.9,65,74,11.23,broken clouds
117,Porto Velho,BR,-8.7619,-63.9039,86.05,62,75,2.3,light rain
118,Mtwara,TZ,-10.2667,40.1833,76.95,85,41,7.81,scattered clouds
119,Longyearbyen,SJ,78.2186,15.6401,17.44,73,0,8.05,clear sky
120,Prince Rupert,CA,54.3161,-130.3201,47.89,74,100,19.57,light rain
121,Pisco,PE,-13.7,-76.2167,68.05,73,0,10.36,clear sky
122,Camargo,MX,27.6667,-105.1667,72.91,23,0,15.48,clear sky
123,Douglas,US,41.3,-96.167,55.15,93,90,3.0,moderate rain
124,Campos Belos,BR,-13.0367,-46.7717,95.11,24,23,7.74,few clouds
125,Pemba,MZ,-12.974,40.5178,79.5,89,20,10.36,few clouds
126,Ketchikan,US,55.3422,-131.6461,45.07,81,75,4.61,light rain
127,Oriximina,BR,-1.7656,-55.8661,90.82,51,99,4.85,overcast clouds
128,Lahaina,US,20.8783,-156.6825,77.81,80,17,4.29,few clouds
129,Alofi,NU,-19.0595,-169.9187,73.29,78,68,10.36,broken clouds
130,Airai,TL,-8.9266,125.4092,62.11,84,91,1.52,overcast clouds
131,Paragominas,BR,-2.9667,-47.4833,87.49,52,70,5.28,broken clouds
